season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2026,154,19,Round 19,Round 19,0,2026-07-16,Kardinia Park,Geelong,St Kilda,NA,NA,NA,NA,NA,NA
2026,155,19,Round 19,Round 19,0,2026-07-17,SCG,Sydney,Adelaide,NA,NA,NA,NA,NA,NA
2026,156,19,Round 19,Round 19,0,2026-07-18,Adelaide Oval,Port Adelaide,Fremantle,NA,NA,NA,NA,NA,NA
2026,157,19,Round 19,Round 19,0,2026-07-18,Docklands Stadium,North Melbourne,Melbourne,NA,NA,NA,NA,NA,NA
2026,158,19,Round 19,Round 19,0,2026-07-18,MCG,Collingwood,Carlton,NA,NA,NA,NA,NA,NA
2026,159,19,Round 19,Round 19,0,2026-07-18,Perth Stadium,West Coast,Brisbane,NA,NA,NA,NA,NA,NA
2026,160,19,Round 19,Round 19,0,2026-07-19,MCG,Richmond,Hawthorn,NA,NA,NA,NA,NA,NA
2026,161,19,Round 19,Round 19,0,2026-07-19,Carrara Stadium,Gold Coast,Western Bulldogs,NA,NA,NA,NA,NA,NA
2026,162,19,Round 19,Round 19,0,2026-07-19,Docklands Stadium,Essendon,GWS,NA,NA,NA,NA,NA,NA
2026,163,20,Round 20,Round 20,0,2026-07-23,Adelaide Oval,Adelaide,Collingwood,NA,NA,NA,NA,NA,NA
2026,164,20,Round 20,Round 20,0,2026-07-24,MCG,Melbourne,Geelong,NA,NA,NA,NA,NA,NA
2026,165,20,Round 20,Round 20,0,2026-07-24,Perth Stadium,Fremantle,West Coast,NA,NA,NA,NA,NA,NA
2026,166,20,Round 20,Round 20,0,2026-07-25,Docklands Stadium,Carlton,Gold Coast,NA,NA,NA,NA,NA,NA
2026,167,20,Round 20,Round 20,0,2026-07-25,MCG,Hawthorn,Essendon,NA,NA,NA,NA,NA,NA
2026,168,20,Round 20,Round 20,0,2026-07-25,Sydney Showground Stadium,GWS,Sydney,NA,NA,NA,NA,NA,NA
2026,169,20,Round 20,Round 20,0,2026-07-25,Docklands Stadium,Western Bulldogs,Richmond,NA,NA,NA,NA,NA,NA
2026,170,20,Round 20,Round 20,0,2026-07-26,Gabba,Brisbane,Port Adelaide,NA,NA,NA,NA,NA,NA
2026,171,20,Round 20,Round 20,0,2026-07-26,Docklands Stadium,North Melbourne,St Kilda,NA,NA,NA,NA,NA,NA
2026,172,21,Round 21,Round 21,0,2026-07-30,MCG,Collingwood,Geelong,NA,NA,NA,NA,NA,NA
2026,173,21,Round 21,Round 21,0,2026-07-31,Perth Stadium,Fremantle,Western Bulldogs,NA,NA,NA,NA,NA,NA
2026,174,21,Round 21,Round 21,0,2026-08-01,Docklands Stadium,St Kilda,Sydney,NA,NA,NA,NA,NA,NA
2026,175,21,Round 21,Round 21,0,2026-08-01,York Park,Hawthorn,North Melbourne,NA,NA,NA,NA,NA,NA
2026,176,21,Round 21,Round 21,0,2026-08-01,Adelaide Oval,Port Adelaide,GWS,NA,NA,NA,NA,NA,NA
2026,177,21,Round 21,Round 21,0,2026-08-01,Docklands Stadium,Carlton,Brisbane,NA,NA,NA,NA,NA,NA
2026,178,21,Round 21,Round 21,0,2026-08-02,MCG,Richmond,West Coast,NA,NA,NA,NA,NA,NA
2026,179,21,Round 21,Round 21,0,2026-08-02,Carrara Stadium,Gold Coast,Melbourne,NA,NA,NA,NA,NA,NA
2026,180,21,Round 21,Round 21,0,2026-08-02,Docklands Stadium,Essendon,Adelaide,NA,NA,NA,NA,NA,NA
2026,181,22,Round 22,Round 22,0,2026-08-06,Docklands Stadium,Western Bulldogs,North Melbourne,NA,NA,NA,NA,NA,NA
2026,182,22,Round 22,Round 22,0,2026-08-07,Gabba,Brisbane,Hawthorn,NA,NA,NA,NA,NA,NA
2026,183,22,Round 22,Round 22,0,2026-08-08,MCG,Melbourne,Fremantle,NA,NA,NA,NA,NA,NA
2026,184,22,Round 22,Round 22,0,2026-08-08,SCG,Sydney,Port Adelaide,NA,NA,NA,NA,NA,NA
2026,185,22,Round 22,Round 22,0,2026-08-08,Kardinia Park,Geelong,Essendon,NA,NA,NA,NA,NA,NA
2026,186,22,Round 22,Round 22,0,2026-08-08,Adelaide Oval,Adelaide,Richmond,NA,NA,NA,NA,NA,NA
2026,187,22,Round 22,Round 22,0,2026-08-09,Manuka Oval,GWS,Gold Coast,NA,NA,NA,NA,NA,NA
2026,188,22,Round 22,Round 22,0,2026-08-09,Perth Stadium,West Coast,Collingwood,NA,NA,NA,NA,NA,NA
2026,189,22,Round 22,Round 22,0,2026-08-09,Docklands Stadium,St Kilda,Carlton,NA,NA,NA,NA,NA,NA
2026,190,23,Round 23,Round 23,0,2026-08-10,Gabba,Brisbane,Gold Coast,NA,NA,NA,NA,NA,NA
2026,191,23,Round 23,Round 23,0,2026-08-10,MCG,Essendon,Sydney,NA,NA,NA,NA,NA,NA
2026,192,23,Round 23,Round 23,0,2026-08-10,Sydney Showground Stadium,GWS,West Coast,NA,NA,NA,NA,NA,NA
2026,193,23,Round 23,Round 23,0,2026-08-10,MCG,Hawthorn,Collingwood,NA,NA,NA,NA,NA,NA
2026,194,23,Round 23,Round 23,0,2026-08-10,Docklands Stadium,North Melbourne,Geelong,NA,NA,NA,NA,NA,NA
2026,195,23,Round 23,Round 23,0,2026-08-10,MCG,Richmond,St Kilda,NA,NA,NA,NA,NA,NA
2026,196,23,Round 23,Round 23,0,2026-08-10,Docklands Stadium,Western Bulldogs,Carlton,NA,NA,NA,NA,NA,NA
2026,197,23,Round 23,Round 23,0,2026-08-10,Adelaide Oval,Port Adelaide,Melbourne,NA,NA,NA,NA,NA,NA
