season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2014,4517,14,Round 14,Round 14,0,2014-06-21,Adelaide Oval,Port Adelaide,Western Bulldogs,19,14,128,8,8,56
2014,4518,14,Round 14,Round 14,0,2014-06-21,MCG,Hawthorn,Collingwood,17,13,115,13,8,86
2014,4519,14,Round 14,Round 14,0,2014-06-21,Carrara Stadium,Gold Coast,Geelong,17,16,118,11,12,78
2014,4520,14,Round 14,Round 14,0,2014-06-21,Docklands Stadium,Essendon,Adelaide,15,11,101,14,8,92
2014,4521,14,Round 14,Round 14,0,2014-06-21,Subiaco Oval,Fremantle,Brisbane,15,15,105,3,4,22
2014,4522,14,Round 14,Round 14,0,2014-06-22,Sydney Showground Stadium,GWS,Carlton,15,10,100,14,8,92
2014,4523,14,Round 14,Round 14,0,2014-06-22,Docklands Stadium,St Kilda,West Coast,10,10,70,15,13,103
2014,4524,14,Round 14,Round 14,0,2014-06-22,MCG,Melbourne,North Melbourne,10,6,66,15,17,107
2014,4525,15,Round 15,Round 15,0,2014-06-27,Docklands Stadium,Geelong,Essendon,13,11,89,11,14,80
2014,4526,15,Round 15,Round 15,0,2014-06-28,York Park,Hawthorn,Gold Coast,17,14,116,10,3,63
2014,4527,15,Round 15,Round 15,0,2014-06-28,Docklands Stadium,St Kilda,Richmond,11,7,73,18,9,117
2014,4528,15,Round 15,Round 15,0,2014-06-28,Subiaco Oval,Fremantle,West Coast,13,10,88,11,15,81
2014,4529,15,Round 15,Round 15,0,2014-06-28,Gabba,Brisbane,North Melbourne,10,10,70,9,12,66
2014,4530,15,Round 15,Round 15,0,2014-06-28,SCG,Sydney,GWS,15,16,106,8,12,60
2014,4531,15,Round 15,Round 15,0,2014-06-29,Docklands Stadium,Western Bulldogs,Melbourne,14,7,91,13,7,85
2014,4532,15,Round 15,Round 15,0,2014-06-29,Adelaide Oval,Adelaide,Port Adelaide,14,15,99,10,16,76
2014,4533,15,Round 15,Round 15,0,2014-06-29,MCG,Collingwood,Carlton,13,13,91,11,10,76
2014,4534,16,Round 16,Round 16,0,2014-07-04,Docklands Stadium,North Melbourne,Hawthorn,16,12,108,13,10,88
2014,4535,16,Round 16,Round 16,0,2014-07-05,MCG,Richmond,Brisbane,12,7,79,7,12,54
2014,4536,16,Round 16,Round 16,0,2014-07-05,Sydney Showground Stadium,GWS,Adelaide,9,18,72,20,20,140
2014,4537,16,Round 16,Round 16,0,2014-07-05,Carrara Stadium,Gold Coast,Collingwood,11,14,80,10,15,75
2014,4538,16,Round 16,Round 16,0,2014-07-05,Marrara Oval,Melbourne,Fremantle,4,10,34,15,7,97
2014,4539,16,Round 16,Round 16,0,2014-07-05,Adelaide Oval,Port Adelaide,Essendon,7,18,60,8,14,62
2014,4540,16,Round 16,Round 16,0,2014-07-06,Docklands Stadium,Carlton,St Kilda,24,7,151,10,6,66
2014,4541,16,Round 16,Round 16,0,2014-07-06,Subiaco Oval,West Coast,Sydney,7,9,51,10,19,79
2014,4542,16,Round 16,Round 16,0,2014-07-06,Kardinia Park,Geelong,Western Bulldogs,10,9,69,7,14,56
2014,4543,17,Round 17,Round 17,0,2014-07-11,Adelaide Oval,Adelaide,Hawthorn,14,8,92,15,14,104
2014,4544,17,Round 17,Round 17,0,2014-07-12,MCG,Melbourne,Geelong,5,6,36,14,18,102
